site,client,reads,effect,evidence
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateDirectionVectorsMixInWorld,server-only,n/a,none,Atmosphere.cs:1744 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateGiveWeightsMixInWorld,server-only,n/a,none,Atmosphere.cs:1742 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateTakeWeights,server-only,n/a,none,Atmosphere.cs:1740 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::CanGiveLiquidTo,server-only,n/a,none,Atmosphere.cs:1802/1824 in GiveLiquids/EqualizeLiquidsToNeighbours <- :1735 MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::CheckStressOnStructuresClient,client,mixed,"wall stress state (Wall.Stressed -> AtmosphericAudioHandler.AddStressedWall creak audio) judged against the shipped planet's pressure across a wall where no outdoor cell exists; ClosedNeighbors is only filled client-side for the local player's cell, so in practice only walls around the player",AtmosphericsManager.cs:131 ProcessAtmospheresClientAction <- ProcessAtmospheresClient:476 (client receive); neighbour = SampleGlobalAtmosphere Atmosphere.cs:2149; ClosedNeighbors set only by GetOpenAirNeighbors (client: AtmosphericAudioHandler.cs:244 if (!RunSimulation))
Assets.Scripts.Atmospherics/Atmosphere.cs::DoOpenNeighbours,both,none,none,server: GetOpenAirNeighbors:1541 <- CalculateOpenNeighboursTask <- RunOpenNeighboursJobs GameManager.cs:758 (RunSimulation); client: AtmosphericAudioHandler.ManageWindAudio :241-245 if (!GameManager.RunSimulation) GetOpenAirNeighbors; only planet input is PAS.IsInSpaceAtmosphere (fixed height)
Assets.Scripts.Atmospherics/Atmosphere.cs::GiveAtmospheresMixInWorld,server-only,n/a,none,Atmosphere.cs:1743 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
Assets.Scripts.Atmospherics/Atmosphere.cs::IsCloseToGlobal,server-only,n/a,none,callers: Atmosphere.cs:1144 IsLive <- AtmosphericProcessingAction AtmosphericsManager.cs:184 / MarkedForRemoval (GameManager.cs:813/815 RunSimulation); :2024 PrepareDataMixInWorld (mix); Structure.cs:1938 IsExposedToGlobal <- SolarRadiators.cs:23/28 <- GameManager.cs:742 RunSimulation
Assets.Scripts.Atmospherics/Atmosphere.cs::IsValidWorld,server-only,n/a,none,"save paths only: XmlSaveLoad.cs:356 AtmosphereSaveAction <- GetWorldData <- SaveHelper (SaveCommand Scope HostOrSinglePlayer, StationAutoSave.cs:53 !IsClient, ExitGamePopup RunSimulation; F5 quicksave KeyManager.cs:148 has no guard but SaveHelper.SaveGame stops on empty station name, cleared by XmlSaveLoad.ClearAll); WorldSettingData.cs:192 via dev 'exportworld' command only. Identity check, no planet read on any machine"
Assets.Scripts.Atmospherics/Atmosphere.cs::LerpToGlobalAtmosphere,server-only,n/a,none,Atmosphere.cs:1730 in MixInWorld <- Atmosphere.Mix <- AtmosphericsWorker.MixTask:375 <- Job.Mix <- AtmosphericsController.DoAtmosphereMixJobs <- GameManager.cs:781 if (RunSimulation)
