site,kind,mutates,guard,handled,note
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateDirectionVectorsMixInWorld,read,no,,,"Wind direction only: reads ReadonlyGlobalAtmosphere pressure vs this cell's start pressure to push Direction; skips read-only neighbours for their Direction write. Uses Chemistry.GridVolume (8000 L) as absolute scale. | closure pass: L1980 reads ReadonlyGlobalAtmosphere pressure for the wind Direction vector; L1983 skips entries that are the read-only copy. Only Direction (not gas) is written, on real cells"
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateGiveWeightsMixInWorld,internal,no,,,"Computes give weights for the outdoor mix; for a read-only neighbour keeps PressureRatioPreTake instead of recomputing. No gas moved here. Absolute: Chemistry.GridVolume, clamp 0.1..10. | closure pass: L1943 reads IsGlobalAtmosphere of a _mixingAtmos entry to choose the pressure ratio; writes only MixData weights. Uses absolute Chemistry.GridVolume (8000 L) as threshold"
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateTakeWeights,read,no,,,"Sets TakeWeight = 1/max(OpenNeighbors+1,2) on every _mixingAtmos entry incl. the read-only copy; MixData bookkeeping only, no gas. No IsGlobalAtmosphere guard and none needed"
Assets.Scripts.Atmospherics/Atmosphere.cs::CanGiveLiquidTo,read,no,,,"Predicate: refuses liquid transfer to the read-only copy (IsGlobalAtmosphere => false), so GiveLiquids/EqualizeLiquidsToNeighbours never drain liquid into the planet. Liquid cannot reach the tank by flow, only via Deregister and LerpToGlobalAtmosphere."
Assets.Scripts.Atmospherics/Atmosphere.cs::CheckStressOnStructuresClient,read,no,,,Client: samples neighbour pressure (real cell or planet copy) to set Structure.Stressed. Pure read.
Assets.Scripts.Atmospherics/Atmosphere.cs::DoOpenNeighbours,read,no,,,Neighbour topology: cells either side of the space line (IsInSpaceAtmosphere; PAS.SpaceHeight 1000 m absolute) are not neighbours. No gas.
Assets.Scripts.Atmospherics/Atmosphere.cs::GetMinimumGasVolume,none,no,,,"Returns Chemistry.MinimumGasVolume x100 for World/Global modes. Absolute per-cell constant, not tank-scale."
Assets.Scripts.Atmospherics/Atmosphere.cs::GiveAtmospheresMixInWorld,gated,yes,reference.atmos.IsGlobalAtmosphere => PlanetaryAtmosphereSimulation.GiveToGlobal(...) (1783-1785),,"Outdoor mix give step: the share owed to a read-only neighbour goes to switched PAS.GiveToGlobal (credits tank, books heat difference into ExternalInputEnergyOffset). Gas only (MatterState.Gas). | closure pass: L1780 takes the MixData ref; the share for a read-only entry goes to PAS.GiveToGlobal (switched), real entries get RemoveInto. No bypass"
Assets.Scripts.Atmospherics/Atmosphere.cs::IsCloseToGlobal,read,no,,,"Compares this cell pressure and 13 gas quantities with ReadonlyGlobalAtmosphere; pure read. Absolute constants: clamp 0.04..1.0 of OneAtmosphere, GlobalAtmosphereNeighbourThreshold"
Assets.Scripts.Atmospherics/Atmosphere.cs::IsValidWorld,read,no,,,Identity check: SampleGlobalAtmosphere(WorldGrid) == this. No gas.
Assets.Scripts.Atmospherics/Atmosphere.cs::LastNetworkUpdateTime,none,no,,,Census member mis-attribution: line 362 is the definition of property IsGlobalAtmosphere => Mode == Global. No planet access.
Assets.Scripts.Atmospherics/Atmosphere.cs::LerpToGlobalAtmosphere,gated,yes,PAS.TakeGlobalGasMix(Volume) (1713) / PAS.GiveToGlobal(target) (1716),,"Open outdoor cell with read-only neighbours relaxes toward planet air: takes a cell-volume of tank gas AND liquid, lerps gases and liquids (t = LerpRate 0.2..1 by WorldAtmospheresCount/20000, absolute), returns the remainder via GiveToGlobal (heat -> ExternalInputEnergyOffset). Above SpaceHeight the target is vacuum but what is shed still goes to GiveToGlobal: no sink in space. LerpLiquids means tank liquid (global sea) exchanges with cells here."
Assets.Scripts.Atmospherics/Atmosphere.cs::MixData,display,no,,,"Census member mis-attribution: lines 321/324 are the DisplayName switch strings ('WorldAtmosphere: x,y,z' / 'Global Atmosphere'). Debug naming only. | closure pass: L213 is the field declaration MixData[] _mixingAtmos = new MixData[7]; the MixData ctor only caches GetGasVolume()"
Assets.Scripts.Atmospherics/Atmosphere.cs::MixLiquids,internal,yes,"implicit only: if (!(reference.atmos.TotalVolumeLiquids <= LiquidSolver.RenderThreshold(reference.atmos))) (L1879); the read-only copy is built gas-only (GlobalGasMix.ToInstancedGasMixture -> GasMixtureHelper.Create(this, MatterState.Gas)) so its liquid volume is always 0 and it is skipped",,Cell-to-cell liquid mixing: 40 % (_mixSpeed) of each entry liquid per tick pooled and returned mole-for-mole. NO explicit IsGlobalAtmosphere guard: safe only while ReadOnlyGlobal carries no liquid. If a mod ever puts tank liquid into the copy this becomes a free liquid source+sink. Liquids; absolute RenderThreshold 0.3 L
Assets.Scripts.Atmospherics/Atmosphere.cs::PrepareDataMixInWorld,gated,yes,"else-branch AtmosphericsController.CloneGlobalAtmosphere(worldGrid, 0L, setStateActive: false) (2046); read-only neighbours admitted only when IsCloseToGlobal or WorldAtmospheresCount >= 20000 (2035-2039)",,"Builds the mix list. If the cell is close to planet air (GlobalAtmosphereNeighbourThreshold 100, absolute, scaled by planet pressure) or there are >= 20000 world cells (absolute), neighbours are sampled and the read-only copy enters _mixingAtmos; gas take/give for those is switched (TakeAtmospherePortion / GiveAtmospheresMixInWorld). Otherwise neighbours are cloned (debits tank). RESIDUAL BYPASS one level down: the copy also lands in _mixingAtmos, and MixLiquids (1871-1888, not a census site) does reference.atmos.GasMixture.RemoveInto(liquid) on every entry with no IsGlobalAtmosphere check: when the tank holds liquid above RenderThreshold, planet liquid is pulled into the pot free and the share handed back to the copy is discarded (mole count of real cells conserved, composition not). Liquid / global sea. | closure pass: L2029/L2055 add this cell and each open neighbour to _mixingAtmos. The read-only copy DOES enter _mixingAtmos when IsCloseToGlobal or WorldAtmospheresCount >= 20000 (absolute). Downstream all guarded: TakeAtmospherePortion (TakeGlobalMoles), GiveAtmospheresMixInWorld (GiveToGlobal), CanGiveLiquidTo and SpawnLiquidSolverParticles check IsGlobalAtmosphere, MixLiquids skips it because it holds no liquid. Latent game bug: tests atmosphere == null then dereferences it"
