site,lines,symbols,why
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateDirectionVectorsMixInWorld,1980 1983,IsGlobalAtmosphere ReadonlyGlobalAtmosphere _mixingAtmos,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateGiveWeightsMixInWorld,1943,IsGlobalAtmosphere _mixingAtmos,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateTakeWeights,1755,_mixingAtmos,new site
Assets.Scripts.Atmospherics/Atmosphere.cs::GiveAtmospheresMixInWorld,1780,IsGlobalAtmosphere PlanetaryAtmosphereSimulation _mixingAtmos,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::IsCloseToGlobal,1693,ReadonlyGlobalAtmosphere,new site
Assets.Scripts.Atmospherics/Atmosphere.cs::MixData,213,AtmosphereMode.Global WorldAtmosphere _mixingAtmos,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::MixLiquids,1878,_mixingAtmos,new site
Assets.Scripts.Atmospherics/Atmosphere.cs::PrepareDataMixInWorld,2029 2055,CloneGlobalAtmosphere IsGlobalAtmosphere SampleGlobalAtmosphere _mixingAtmos,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithCell,2289,PlanetaryAtmosphereSimulation ReadonlyGlobalAtmosphere SampleGlobalAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Atmospherics/Atmosphere.cs::RecachePressureAfterLiquidMix,2012 2017,_mixingAtmos,new site
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospheresMixInWorld,1763,_mixingAtmos,new site
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::CalculateEntropy,468 472,ReadonlyGlobalAtmosphere,new site
Assets.Scripts.Inventory/InventoryManager.cs::DebugContentsMethod,1200 1202,BreathingAtmosphere,new site
Assets.Scripts.Localization2/GameStrings.cs::(type),671,BreathingAtmosphere,new site
Assets.Scripts.Objects.Clothing/SuitBase.cs::BreathingAtmosphere,396 404,BreathingAtmosphere,new site
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirIgnited,24,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirPressure,33,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirTemperature,60,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::FindAtmosphere,192,FindAtmosphere SampleGlobalAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::GasRatio,184,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::PartialPressureO2,69,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::TotalMoles,42,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/GasSensor.cs::VolumeOfLiquid,51,FindAtmosphere WorldAtmosphere,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/HydroponicsAutomated.cs::IsOperable,117,BreathingAtmosphere,new site
Assets.Scripts.Objects.Electrical/HydroponicsStation.cs::IsLitByGrowLight,43,BreathingAtmosphere,new site
Assets.Scripts.Objects.Electrical/OccupantAtmospherics.cs::GetPassiveTooltip,96,BreathingAtmosphere,new site
Assets.Scripts.Objects.Electrical/SolidFuelGenerator.cs::SmeltResource,118,CloneGlobalAtmosphere Smelt,known site: ONLY these newly matched lines need a verdict
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::(type),30,_worldAtmosphere,new site
